Destination,Feedback_Score(Out_of_10),Average_Hotel_Rating(Out_Of_5),Number_Of_All-inclusive_Hotels,Most_Visited_City
Croatia,7,4,24,Dubrovnik
New Zealand,5,4.2,256,Auckland
Maldives,9,4.8,57,Malé Atoll
Netherlands,5,3,2,Amsterdam
India,6,3.5,106,Agra
Spain,7,2.4,158,Barcelona
Turkey,6,4.4,89,Istanbul
Tenerife,3,5,96,Puerto de la Cruz
Portugal,4,3.6,109,Lisbon
Ibiza,3,4.2,130,Santa Eulalia
South Africa,8,4.7,230,Cape Town
Tunisia,7,3.2,43,Tunis
East Africa,6,3.6,159,Mauritius
Brazil,9,4.7,83,Rio De Janeiro
Cananda,8,4.5,180,Toronto